"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","314","PUT API -- Update user","chromium","2026-06-27","passed","2026-06-27","Executing E2E go rest crud api test","api/users.api.sep.spec.ts","",""
"","1955","Verify Registration Page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","registrationpage.spec.ts","",""
"","2464","Verify Logout Link In Home Page","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","3933","Verify product Information/Data - macbook - MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","290","Get User Details with optional filters","chromium","2026-06-27","passed","2026-06-27","","api/users.api.spec.ts","",""
"","2119","Verify user can login with invalid credentials with Json - invalid@open.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","1864","Verify Account Login page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","2443","Verify user can login successfully with valid credentials","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2213","Verify user can login with invalid credentials with csv without fixtures - - pw123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","1161","GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
"","3524","Verify product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2392","Verify user can login with invalid credentials with csv without fixtures - invalid@open.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2216","Verify user can login with invalid credentials with Excel - pwtestbatch@open.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2271","Verify the Home Page Title","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2904","Verify user can register with open cart - smith","chromium","2026-06-27","passed","2026-06-27","","registrationpage.spec.ts","",""
"","3196","Verify user is able to land on product page - imac - iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
