"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2569","@smoke home page title test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2480","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","1662","@regression PUT - update a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.indi.spec.ts","",""
"","1","create a user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","360","@smoke GET -- get all users","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","1906","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","912","@regression DELETE - delete a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.indi.spec.ts","",""
"","1697","@regression forgot pwd link exist test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","343","@regression GET API -- get all users","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2452","@smoke intercept and log requests","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","388","@regression POST API -- create a user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2484","@smoke user is able to login to app test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","0","login page title test","chromium","2026-06-27","skipped","2026-06-27","","loginpage.spec.ts","",""
"","2684","@regression home page headers exist test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","1857","@smoke login page title test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2794","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","0","@regression invalid login test with - - pw1234","chromium","2026-06-27","skipped","2026-06-27","","loginpagefix.spec.ts","",""
"","2300","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","925","@smoke GET -- get a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","2255","invalid login test with JSON data - invalid@open.com","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-27","skipped","2026-06-27","","loginpagefix.spec.ts","",""
"","268","@regression DELETE API -- Delete a user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
